,price,location,baths,bedrooms,Total_Area
9897,480.0,I-8,6,6,29675.359
9898,190.0,G-15,5,5,2178.008
9899,550.0,I-8,8,10,2722.51
9900,260.0,G-15,6,6,38659.642
9901,120.0,Ghauri Town,5,5,15246.056
9902,150.0,National Police Foundation O-9,5,5,27497.351
9903,150.0,CBR Town,5,5,1905.757
9904,160.0,National Police Foundation O-9,5,5,2722.51
9905,47.0,Alipur Farash,2,2,1089.004
9906,125.0,Naval Anchorage,4,4,1361.255
9907,93.0,Naval Anchorage,2,2,1361.255
9908,88.0,Naval Anchorage,2,2,1361.255
9909,460.0,DHA Defence,6,6,5445.0
9910,47.0,Ali Pur,2,2,1089.004
9911,155.0,Faisal Town - F-18,5,5,2178.008
9912,370.0,G-11,6,6,2178.008
9913,270.0,G-11,5,5,15246.056
9914,270.0,G-11,5,5,1361.255
9915,415.0,E-11,6,5,2722.51
9916,430.0,E-11,7,6,3267.012
9917,135.0,PWD Housing Scheme,5,5,25319.343
9918,95.0,CBR Town,4,4,1905.757
9919,185.0,PWD Housing Scheme,7,7,38659.642
9920,140.0,Soan Garden,6,4,1633.506
9922,425.0,E-11,6,5,2722.51
9923,530.0,DHA Defence,7,6,5445.0
9924,550.0,Emaar Canyon Views,5,5,65340.0
9925,580.0,I-8,6,6,2994.7609999999995
9926,175.0,G-13,5,4,11979.043999999998
9927,480.0,DHA Defence,7,6,5445.0
9928,510.0,DHA Defence,8,7,5445.0
9930,330.0,Bahria Town,7,6,39476.395
9939,144.0,G-13,5,4,1089.004
9940,900.0,F-7,5,5,5445.0
9942,255.0,G-15,6,6,38659.642
9943,620.0,E-11,8,8,4356.016
9944,900.0,F-6,6,5,59895.0
9947,1050.0,F-6,7,5,70785.0
9948,1050.0,F-7,6,5,70785.0
9949,245.0,G-13,6,5,1905.757
9950,290.0,E-11,4,4,1633.506
9951,360.0,G-13,8,6,2722.51
9953,1800.0,F-6,5,4,130680.0
9956,1150.0,F-7,6,5,98010.0
9957,225.0,D-12,6,5,15246.056
9959,70.0,Ghauri Town,5,5,1089.004
9960,160.0,G-13,5,4,11979.043999999998
9961,160.0,G-13,5,4,11979.043999999998
9962,265.0,G-13,6,5,2178.008
9963,165.0,G-13,5,4,1089.004
9964,175.0,Gulberg,7,5,1905.757
9965,600.0,E-11,7,6,5445.0
9966,630.0,E-11,6,6,5445.0
9967,260.0,E-11,4,4,1633.506
9968,156.0,DHA Defence,2,2,1361.255
9969,160.0,DHA Defence,2,2,1361.255
9970,195.0,DHA Defence,5,4,2994.7609999999995
9972,140.0,G-13,5,5,1089.004
